# k f_up f_allD C_global_avg
2.000000 0.012509 0.987491 0.011500
3.000000 0.270244 0.729756 0.263626
4.000000 0.101576 0.898424 0.097379
5.000000 0.011959 0.988041 0.009119
6.000000 0.005377 0.994623 0.002514
7.000000 0.004588 0.995412 0.001414
8.000000 0.004872 0.995128 0.001311
9.000000 0.005273 0.994727 0.001264
10.000000 0.005734 0.994266 0.001244
11.000000 0.006127 0.993873 0.001210
12.000000 0.006576 0.993424 0.001197
13.000000 0.007033 0.992967 0.001182
14.000000 0.007555 0.992445 0.001185
15.000000 0.007982 0.992018 0.001173
16.000000 0.008465 0.991535 0.001173
17.000000 0.008957 0.991043 0.001170
18.000000 0.009432 0.990568 0.001172
19.000000 0.009926 0.990074 0.001180
20.000000 0.010348 0.989652 0.001172
21.000000 0.010873 0.989127 0.001178
22.000000 0.011401 0.988599 0.001206
23.000000 0.011671 0.988329 0.001160
24.000000 0.012153 0.987847 0.001164
25.000000 0.012805 0.987195 0.001199
26.000000 0.013230 0.986770 0.001196
27.000000 0.013689 0.986311 0.001194
28.000000 0.014223 0.985777 0.001195
29.000000 0.014595 0.985405 0.001207
30.000000 0.015024 0.984976 0.001218
31.000000 0.015664 0.984336 0.001231
32.000000 0.016060 0.983940 0.001247
33.000000 0.016445 0.983555 0.001215
34.000000 0.016816 0.983184 0.001209
35.000000 0.017215 0.982785 0.001222
36.000000 0.017735 0.982265 0.001256
37.000000 0.018371 0.981629 0.001229
38.000000 0.018905 0.981095 0.001310
39.000000 0.019140 0.980860 0.001255
40.000000 0.019669 0.980331 0.001282
41.000000 0.020290 0.979710 0.001282
42.000000 0.020611 0.979389 0.001271
43.000000 0.021059 0.978941 0.001281
44.000000 0.021457 0.978543 0.001366
45.000000 0.021824 0.978176 0.001321
46.000000 0.022423 0.977577 0.001342
47.000000 0.022797 0.977203 0.001314
48.000000 0.023482 0.976518 0.001420
49.000000 0.023607 0.976393 0.001304
50.000000 0.024008 0.975992 0.001298
51.000000 0.024485 0.975515 0.001358
52.000000 0.024846 0.975154 0.001341
53.000000 0.025352 0.974648 0.001387
54.000000 0.026270 0.973730 0.001499
55.000000 0.027041 0.972959 0.001594
56.000000 0.026812 0.973188 0.001412
57.000000 0.027517 0.972483 0.001574
58.000000 0.027639 0.972361 0.001626
59.000000 0.028708 0.971292 0.001515
60.000000 0.028770 0.971230 0.001535
61.000000 0.029304 0.970696 0.001600
62.000000 0.029744 0.970256 0.001643
63.000000 0.030241 0.969759 0.001596
64.000000 0.030291 0.969709 0.001588
65.000000 0.031269 0.968731 0.001814
66.000000 0.031459 0.968541 0.001707
67.000000 0.031701 0.968299 0.001631
68.000000 0.032318 0.967682 0.001797
69.000000 0.032876 0.967124 0.001732
70.000000 0.033303 0.966697 0.001809
71.000000 0.033556 0.966444 0.001728
72.000000 0.034423 0.965577 0.001943
73.000000 0.034745 0.965255 0.002048
74.000000 0.035257 0.964743 0.001960
75.000000 0.035251 0.964749 0.001828
76.000000 0.035655 0.964345 0.001978
77.000000 0.037081 0.962919 0.002090
78.000000 0.037017 0.962983 0.002024
79.000000 0.037829 0.962171 0.002377
80.000000 0.037423 0.962577 0.002041
81.000000 0.038698 0.961302 0.002323
82.000000 0.037961 0.962039 0.002099
83.000000 0.038397 0.961603 0.002223
84.000000 0.040075 0.959925 0.002474
85.000000 0.039803 0.960197 0.002264
86.000000 0.040752 0.959248 0.002348
87.000000 0.040967 0.959033 0.002352
88.000000 0.041780 0.958220 0.002587
89.000000 0.041815 0.958185 0.002346
90.000000 0.042408 0.957592 0.002751
91.000000 0.042780 0.957220 0.002500
92.000000 0.042605 0.957395 0.002740
93.000000 0.043705 0.956295 0.002677
94.000000 0.044392 0.955608 0.002912
95.000000 0.044176 0.955824 0.002683
96.000000 0.045740 0.954260 0.002899
97.000000 0.044598 0.955402 0.002582
98.000000 0.043881 0.956119 0.002560
99.000000 0.045544 0.954456 0.002833
100.000000 0.045921 0.954079 0.002897
101.000000 0.047535 0.952465 0.003139
102.000000 0.047994 0.952006 0.003515
103.000000 0.049058 0.950942 0.003684
104.000000 0.049457 0.950543 0.003791
105.000000 0.048847 0.951153 0.003551
106.000000 0.049151 0.950849 0.003469
107.000000 0.049438 0.950562 0.003410
108.000000 0.049761 0.950239 0.003751
109.000000 0.050864 0.949136 0.003738
110.000000 0.050807 0.949193 0.003665
111.000000 0.051839 0.948161 0.003714
112.000000 0.051951 0.948049 0.003731
113.000000 0.053154 0.946846 0.004394
114.000000 0.054177 0.945823 0.004209
115.000000 0.053851 0.946149 0.004160
116.000000 0.053843 0.946157 0.004741
117.000000 0.055666 0.944334 0.004609
118.000000 0.054809 0.945191 0.004126
119.000000 0.054077 0.945923 0.004036
