# k f_up f_allD C_global_avg
2.000000 0.012261 0.987739 0.011259
3.000000 0.325861 0.674139 0.318408
4.000000 0.175546 0.824454 0.170122
5.000000 0.005075 0.994925 0.002523
6.000000 0.004346 0.995654 0.001556
7.000000 0.004616 0.995384 0.001476
8.000000 0.004828 0.995172 0.001281
9.000000 0.005203 0.994797 0.001229
10.000000 0.005623 0.994377 0.001198
11.000000 0.006125 0.993875 0.001190
12.000000 0.006526 0.993474 0.001166
13.000000 0.007093 0.992907 0.001174
14.000000 0.007488 0.992512 0.001156
15.000000 0.008078 0.991922 0.001257
16.000000 0.008445 0.991555 0.001145
17.000000 0.008929 0.991071 0.001149
18.000000 0.009338 0.990662 0.001131
19.000000 0.009854 0.990146 0.001136
20.000000 0.010362 0.989638 0.001140
21.000000 0.010813 0.989187 0.001139
22.000000 0.011290 0.988710 0.001138
23.000000 0.011700 0.988300 0.001133
24.000000 0.012155 0.987845 0.001132
25.000000 0.012642 0.987358 0.001138
26.000000 0.013280 0.986720 0.001154
27.000000 0.013673 0.986327 0.001150
28.000000 0.014035 0.985965 0.001137
29.000000 0.014590 0.985410 0.001149
30.000000 0.015129 0.984871 0.001156
31.000000 0.015437 0.984563 0.001146
32.000000 0.016077 0.983923 0.001164
33.000000 0.016532 0.983468 0.001166
34.000000 0.016945 0.983055 0.001163
35.000000 0.017239 0.982761 0.001149
36.000000 0.017745 0.982255 0.001157
37.000000 0.018399 0.981601 0.001179
38.000000 0.018983 0.981017 0.001189
39.000000 0.019329 0.980671 0.001193
40.000000 0.019612 0.980388 0.001170
41.000000 0.019933 0.980067 0.001176
42.000000 0.020247 0.979753 0.001158
43.000000 0.021175 0.978825 0.001200
44.000000 0.021412 0.978588 0.001192
45.000000 0.022047 0.977953 0.001217
46.000000 0.022141 0.977859 0.001187
47.000000 0.023079 0.976921 0.001221
48.000000 0.023656 0.976344 0.001240
49.000000 0.023872 0.976128 0.001227
50.000000 0.024531 0.975469 0.001236
51.000000 0.024412 0.975588 0.001207
52.000000 0.025215 0.974785 0.001264
53.000000 0.025565 0.974435 0.001290
54.000000 0.026012 0.973988 0.001265
55.000000 0.026403 0.973597 0.001252
56.000000 0.026802 0.973198 0.001239
57.000000 0.026998 0.973002 0.001274
58.000000 0.027653 0.972347 0.001264
59.000000 0.028475 0.971525 0.001287
60.000000 0.028997 0.971003 0.001293
61.000000 0.029239 0.970761 0.001303
62.000000 0.029704 0.970296 0.001330
63.000000 0.029796 0.970204 0.001281
64.000000 0.030353 0.969647 0.001338
65.000000 0.031267 0.968733 0.001362
66.000000 0.031218 0.968782 0.001318
67.000000 0.031414 0.968586 0.001300
68.000000 0.032620 0.967380 0.001356
69.000000 0.032863 0.967137 0.001404
70.000000 0.032510 0.967490 0.001321
71.000000 0.034441 0.965559 0.001529
72.000000 0.033704 0.966296 0.001329
73.000000 0.034471 0.965529 0.001458
74.000000 0.034934 0.965066 0.001396
75.000000 0.035083 0.964917 0.001394
76.000000 0.035725 0.964275 0.001487
77.000000 0.035824 0.964176 0.001436
78.000000 0.035891 0.964109 0.001417
79.000000 0.037505 0.962495 0.001579
80.000000 0.037286 0.962714 0.001437
81.000000 0.037990 0.962010 0.001470
82.000000 0.038515 0.961485 0.001493
83.000000 0.038648 0.961352 0.001570
84.000000 0.039901 0.960099 0.001648
85.000000 0.038749 0.961251 0.001481
86.000000 0.040031 0.959969 0.001602
87.000000 0.040773 0.959227 0.001610
88.000000 0.040857 0.959143 0.001637
89.000000 0.041462 0.958538 0.001618
90.000000 0.041429 0.958571 0.001646
91.000000 0.041963 0.958037 0.001612
92.000000 0.043001 0.956999 0.001623
93.000000 0.043186 0.956814 0.001776
94.000000 0.043089 0.956911 0.001622
95.000000 0.044340 0.955660 0.001820
96.000000 0.044467 0.955533 0.001982
97.000000 0.045095 0.954905 0.001755
98.000000 0.044833 0.955167 0.001741
99.000000 0.045243 0.954757 0.001822
100.000000 0.045946 0.954054 0.001803
101.000000 0.045874 0.954126 0.001787
102.000000 0.046659 0.953341 0.001880
103.000000 0.046733 0.953267 0.001893
104.000000 0.047496 0.952504 0.002086
105.000000 0.048476 0.951524 0.001925
106.000000 0.048229 0.951771 0.002012
107.000000 0.049296 0.950704 0.002101
108.000000 0.050050 0.949950 0.002355
109.000000 0.050134 0.949866 0.002187
110.000000 0.048766 0.951234 0.001900
111.000000 0.050697 0.949303 0.002024
112.000000 0.051693 0.948307 0.002129
113.000000 0.051213 0.948787 0.002163
114.000000 0.052349 0.947651 0.002238
115.000000 0.051622 0.948378 0.002186
116.000000 0.052316 0.947684 0.002249
117.000000 0.052962 0.947038 0.002376
118.000000 0.052230 0.947770 0.002205
119.000000 0.053145 0.946855 0.002230
120.000000 0.053380 0.946620 0.002196
121.000000 0.052975 0.947025 0.002142
122.000000 0.054233 0.945767 0.002374
123.000000 0.054566 0.945434 0.002237
124.000000 0.056629 0.943371 0.002598
125.000000 0.055930 0.944070 0.002498
126.000000 0.056951 0.943049 0.002613
127.000000 0.057060 0.942940 0.002519
128.000000 0.056457 0.943543 0.002556
129.000000 0.058257 0.941743 0.002727
130.000000 0.058769 0.941231 0.002695
131.000000 0.058354 0.941646 0.002641
132.000000 0.060057 0.939943 0.002812
133.000000 0.058478 0.941522 0.002738
134.000000 0.060946 0.939054 0.002997
135.000000 0.060876 0.939124 0.003177
136.000000 0.061127 0.938873 0.003029
137.000000 0.063071 0.936929 0.003162
138.000000 0.063177 0.936823 0.003354
139.000000 0.063174 0.936826 0.003132
140.000000 0.063640 0.936360 0.003299
141.000000 0.063117 0.936883 0.003267
142.000000 0.062841 0.937159 0.003140
143.000000 0.064602 0.935398 0.003524
144.000000 0.064965 0.935035 0.003490
145.000000 0.065280 0.934720 0.003307
146.000000 0.065462 0.934538 0.003345
147.000000 0.065001 0.934999 0.003328
148.000000 0.064604 0.935396 0.003408
149.000000 0.066380 0.933620 0.003490
