# k f_up f_down f_allD C_global_avg
2.000000 0.297381 0.436930 0.265689 0.725890
3.000000 0.352035 0.603127 0.044838 0.943017
4.000000 0.366947 0.601364 0.031689 0.955615
5.000000 0.371674 0.598623 0.029702 0.956040
6.000000 0.347204 0.619759 0.033037 0.951541
7.000000 0.334328 0.628215 0.037457 0.945452
8.000000 0.332703 0.624126 0.043171 0.938001
9.000000 0.308904 0.641585 0.049511 0.930336
10.000000 0.294765 0.650706 0.054528 0.924874
11.000000 0.288202 0.649959 0.061839 0.916228
12.000000 0.278367 0.653022 0.068611 0.908574
13.000000 0.269006 0.655961 0.075032 0.901538
14.000000 0.266607 0.649034 0.084360 0.890788
15.000000 0.256864 0.651296 0.091839 0.882790
16.000000 0.252081 0.651330 0.096589 0.877577
17.000000 0.251400 0.648200 0.100400 0.873228
18.000000 0.244679 0.642797 0.112524 0.860000
19.000000 0.237211 0.652392 0.110398 0.862644
20.000000 0.237456 0.641074 0.121469 0.850180
21.000000 0.236106 0.638671 0.125223 0.846308
22.000000 0.232494 0.639569 0.127937 0.843193
23.000000 0.230942 0.636623 0.132435 0.838381
24.000000 0.228813 0.634772 0.136415 0.834227
25.000000 0.225981 0.631727 0.142292 0.827679
26.000000 0.224925 0.627475 0.147600 0.821265
27.000000 0.225495 0.623822 0.150683 0.817978
28.000000 0.223851 0.616321 0.159829 0.808437
29.000000 0.219253 0.625267 0.155481 0.812697
30.000000 0.222194 0.617520 0.160286 0.807278
31.000000 0.221296 0.616987 0.161717 0.805434
32.000000 0.220988 0.608287 0.170726 0.795564
33.000000 0.220205 0.613052 0.166744 0.799900
34.000000 0.223775 0.600682 0.175543 0.790020
35.000000 0.216035 0.609725 0.174240 0.791365
36.000000 0.221619 0.596417 0.181963 0.783009
37.000000 0.218087 0.602365 0.179548 0.784901
38.000000 0.220048 0.595267 0.184685 0.779433
39.000000 0.219137 0.586304 0.194559 0.768783
40.000000 0.218700 0.592787 0.188513 0.775529
41.000000 0.219136 0.585087 0.195777 0.767474
42.000000 0.215791 0.584770 0.199440 0.763700
43.000000 0.217812 0.574125 0.208063 0.753462
44.000000 0.217585 0.577686 0.204729 0.757605
45.000000 0.221133 0.571813 0.207055 0.753594
46.000000 0.216090 0.579028 0.204882 0.756885
47.000000 0.215909 0.572234 0.211857 0.749108
48.000000 0.216003 0.570702 0.213294 0.747289
49.000000 0.216072 0.566147 0.217782 0.742586
50.000000 0.218205 0.564775 0.217020 0.742941
51.000000 0.216768 0.563240 0.219992 0.739571
52.000000 0.216522 0.566674 0.216804 0.743143
53.000000 0.218370 0.549120 0.232509 0.725977
54.000000 0.216120 0.555749 0.228131 0.730830
55.000000 0.216590 0.557947 0.225463 0.733040
56.000000 0.216905 0.557365 0.225730 0.732641
57.000000 0.214940 0.556947 0.228113 0.730263
58.000000 0.215966 0.543522 0.240511 0.716904
59.000000 0.219541 0.542600 0.237859 0.719434
60.000000 0.213231 0.545541 0.241228 0.716079
61.000000 0.219583 0.539986 0.240431 0.715837
62.000000 0.221031 0.537407 0.241562 0.714082
63.000000 0.218836 0.538464 0.242700 0.713193
64.000000 0.216696 0.537306 0.245998 0.710044
65.000000 0.216251 0.537004 0.246746 0.709666
66.000000 0.219278 0.530576 0.250146 0.704811
67.000000 0.218808 0.525408 0.255784 0.698870
68.000000 0.218222 0.527829 0.253950 0.700721
69.000000 0.224535 0.536164 0.239302 0.715166
70.000000 0.218221 0.530650 0.251128 0.703826
71.000000 0.219186 0.522595 0.258219 0.696109
72.000000 0.219984 0.525135 0.254881 0.698788
73.000000 0.221633 0.525253 0.253114 0.700936
74.000000 0.225336 0.524289 0.250374 0.703019
75.000000 0.220584 0.526449 0.252967 0.700461
76.000000 0.220920 0.519549 0.259530 0.693256
77.000000 0.222187 0.522166 0.255647 0.697047
78.000000 0.221051 0.516033 0.262916 0.689480
79.000000 0.219590 0.513110 0.267300 0.684821
80.000000 0.223939 0.513053 0.263008 0.689107
81.000000 0.221558 0.511908 0.266533 0.685356
82.000000 0.217285 0.506318 0.276396 0.675404
83.000000 0.219552 0.514444 0.266004 0.686299
84.000000 0.222518 0.509591 0.267891 0.683759
85.000000 0.220167 0.510440 0.269393 0.681710
86.000000 0.220086 0.510408 0.269506 0.681465
87.000000 0.216851 0.502328 0.280821 0.670284
88.000000 0.221878 0.514919 0.263203 0.687780
89.000000 0.219584 0.505055 0.275361 0.675069
90.000000 0.220476 0.504339 0.275185 0.675090
91.000000 0.222653 0.495569 0.281778 0.667433
92.000000 0.221901 0.503602 0.274497 0.675692
93.000000 0.221846 0.499189 0.278965 0.670389
94.000000 0.220527 0.499718 0.279755 0.669459
95.000000 0.220963 0.493401 0.285636 0.663072
96.000000 0.221360 0.499292 0.279348 0.669843
97.000000 0.221135 0.488946 0.289918 0.658561
98.000000 0.220691 0.503417 0.275892 0.673616
99.000000 0.224817 0.489648 0.285535 0.662537
100.000000 0.220517 0.483771 0.295713 0.652124
101.000000 0.218880 0.492139 0.288981 0.659743
102.000000 0.223061 0.490644 0.286295 0.661245
103.000000 0.221925 0.490490 0.287584 0.659931
104.000000 0.221925 0.485219 0.292856 0.654427
105.000000 0.219452 0.486862 0.293686 0.653394
106.000000 0.223204 0.488028 0.288768 0.658591
107.000000 0.225000 0.488538 0.286462 0.660823
108.000000 0.221527 0.492944 0.285529 0.661759
109.000000 0.224986 0.485768 0.289246 0.657526
110.000000 0.225396 0.484727 0.289877 0.656458
111.000000 0.220697 0.490832 0.288470 0.658567
112.000000 0.222755 0.487121 0.290124 0.656442
113.000000 0.220133 0.477335 0.302532 0.643780
114.000000 0.225125 0.488117 0.286758 0.659117
115.000000 0.222648 0.478144 0.299208 0.645897
116.000000 0.219812 0.480951 0.299237 0.647676
117.000000 0.220011 0.478664 0.301326 0.644161
118.000000 0.224268 0.480334 0.295398 0.650190
119.000000 0.223046 0.479540 0.297414 0.647918
120.000000 0.220932 0.477472 0.301596 0.643648
121.000000 0.220514 0.467412 0.312075 0.632892
122.000000 0.223505 0.477613 0.298882 0.645812
123.000000 0.224581 0.478623 0.296796 0.647644
124.000000 0.223967 0.476279 0.299754 0.644230
125.000000 0.220966 0.481071 0.297963 0.647218
126.000000 0.220663 0.473628 0.305709 0.639119
127.000000 0.220050 0.475123 0.304827 0.640365
128.000000 0.222816 0.478173 0.299012 0.645570
129.000000 0.220528 0.476719 0.302753 0.641654
130.000000 0.227593 0.481645 0.290762 0.653221
131.000000 0.223863 0.474472 0.301665 0.642262
132.000000 0.222568 0.465794 0.311637 0.631540
133.000000 0.224066 0.472149 0.303786 0.639986
134.000000 0.223139 0.468966 0.307896 0.634913
135.000000 0.221879 0.475466 0.302654 0.640801
136.000000 0.221562 0.478239 0.300199 0.643362
137.000000 0.225490 0.485915 0.288595 0.654756
138.000000 0.223324 0.470511 0.306164 0.637002
139.000000 0.227125 0.470933 0.301942 0.640599
140.000000 0.220191 0.471128 0.308681 0.634574
141.000000 0.221919 0.466121 0.311960 0.630304
142.000000 0.224995 0.470617 0.304387 0.637495
143.000000 0.226795 0.470405 0.302800 0.639036
144.000000 0.224885 0.472184 0.302932 0.639059
145.000000 0.222826 0.462408 0.314766 0.626590
146.000000 0.223878 0.469222 0.306900 0.635175
147.000000 0.220838 0.463829 0.315332 0.626228
148.000000 0.220533 0.468540 0.310926 0.631164
149.000000 0.223029 0.472237 0.304734 0.636900
