# k f_up f_allD C_global_avg
2.000000 0.692110 0.307890 0.584112
3.000000 0.872108 0.127892 0.596535
4.000000 0.762527 0.237473 0.409268
5.000000 0.613940 0.386060 0.245018
6.000000 0.521793 0.478207 0.160891
7.000000 0.466660 0.533340 0.112663
8.000000 0.428317 0.571683 0.084727
9.000000 0.391312 0.608688 0.063658
10.000000 0.383378 0.616622 0.054486
11.000000 0.361677 0.638323 0.044512
12.000000 0.354669 0.645331 0.039212
13.000000 0.340501 0.659499 0.033197
14.000000 0.333068 0.666932 0.029887
15.000000 0.332831 0.667169 0.028524
16.000000 0.319201 0.680799 0.024099
17.000000 0.317643 0.682357 0.022408
18.000000 0.314531 0.685469 0.021190
19.000000 0.309095 0.690905 0.019143
20.000000 0.309963 0.690037 0.018970
21.000000 0.309076 0.690924 0.017884
22.000000 0.308166 0.691834 0.016773
23.000000 0.300967 0.699033 0.015520
24.000000 0.300559 0.699441 0.014740
25.000000 0.299540 0.700460 0.014462
26.000000 0.293309 0.706691 0.013265
27.000000 0.295892 0.704108 0.013843
28.000000 0.296077 0.703923 0.012504
29.000000 0.290557 0.709443 0.011593
30.000000 0.291646 0.708354 0.012064
31.000000 0.288073 0.711927 0.011285
32.000000 0.291560 0.708440 0.010969
33.000000 0.288199 0.711801 0.010236
34.000000 0.286030 0.713970 0.010226
35.000000 0.285665 0.714335 0.010422
36.000000 0.285800 0.714200 0.009851
37.000000 0.284747 0.715253 0.009516
38.000000 0.287754 0.712246 0.009456
39.000000 0.289279 0.710721 0.009581
40.000000 0.281886 0.718114 0.008818
41.000000 0.286167 0.713833 0.009100
42.000000 0.283269 0.716731 0.008757
43.000000 0.281796 0.718204 0.008713
44.000000 0.282789 0.717211 0.008546
45.000000 0.283397 0.716603 0.008408
46.000000 0.281496 0.718504 0.008360
47.000000 0.284243 0.715757 0.008735
48.000000 0.277176 0.722824 0.007820
49.000000 0.282181 0.717819 0.007812
50.000000 0.278593 0.721407 0.007651
51.000000 0.276159 0.723841 0.007294
52.000000 0.281737 0.718263 0.007661
53.000000 0.277133 0.722867 0.007608
54.000000 0.282247 0.717753 0.007191
55.000000 0.278739 0.721261 0.007359
56.000000 0.274704 0.725296 0.006953
57.000000 0.279629 0.720371 0.007401
58.000000 0.277563 0.722437 0.006913
59.000000 0.275210 0.724790 0.006412
60.000000 0.277527 0.722473 0.006536
61.000000 0.277532 0.722468 0.006606
62.000000 0.278394 0.721606 0.006715
63.000000 0.279354 0.720646 0.006489
64.000000 0.276613 0.723387 0.006826
65.000000 0.275495 0.724505 0.006480
66.000000 0.276183 0.723817 0.006701
67.000000 0.279026 0.720974 0.006702
68.000000 0.281843 0.718157 0.006847
69.000000 0.277488 0.722512 0.006573
70.000000 0.278841 0.721159 0.006395
71.000000 0.279252 0.720748 0.006455
72.000000 0.276578 0.723422 0.006245
73.000000 0.274915 0.725085 0.006379
74.000000 0.275333 0.724667 0.005931
75.000000 0.275827 0.724173 0.006351
76.000000 0.271293 0.728707 0.006242
77.000000 0.273743 0.726257 0.005763
78.000000 0.277032 0.722968 0.005947
79.000000 0.274561 0.725439 0.006123
80.000000 0.278596 0.721404 0.006027
81.000000 0.273668 0.726332 0.006098
82.000000 0.271952 0.728048 0.005771
83.000000 0.280050 0.719950 0.005981
84.000000 0.273712 0.726288 0.005814
85.000000 0.275802 0.724198 0.006232
86.000000 0.275290 0.724710 0.005498
87.000000 0.271813 0.728187 0.005550
88.000000 0.271067 0.728933 0.005562
89.000000 0.270223 0.729777 0.005296
90.000000 0.272237 0.727763 0.005416
91.000000 0.274740 0.725260 0.005740
92.000000 0.274763 0.725237 0.005590
93.000000 0.270974 0.729026 0.005246
94.000000 0.277776 0.722224 0.005956
95.000000 0.273199 0.726801 0.005416
96.000000 0.271483 0.728517 0.005033
97.000000 0.270031 0.729969 0.005488
98.000000 0.273847 0.726153 0.005409
99.000000 0.278992 0.721008 0.005770
100.000000 0.271010 0.728990 0.005393
101.000000 0.272043 0.727957 0.005425
102.000000 0.276460 0.723540 0.005390
103.000000 0.269247 0.730753 0.004951
104.000000 0.272664 0.727336 0.005322
105.000000 0.273205 0.726795 0.005345
106.000000 0.273022 0.726978 0.005268
107.000000 0.270638 0.729362 0.005215
108.000000 0.270790 0.729210 0.004952
109.000000 0.272611 0.727389 0.005273
110.000000 0.272485 0.727515 0.005223
111.000000 0.272515 0.727485 0.005400
112.000000 0.268016 0.731984 0.005242
113.000000 0.266833 0.733167 0.005156
114.000000 0.273168 0.726832 0.005244
115.000000 0.274414 0.725586 0.005087
