# k f_up f_down f_allD C_global_avg
2.000000 0.395289 0.464328 0.140383 0.786426
3.000000 0.419532 0.518674 0.061794 0.841199
4.000000 0.404947 0.511925 0.083128 0.808114
5.000000 0.376561 0.520980 0.102459 0.782687
6.000000 0.363626 0.522666 0.113708 0.765443
7.000000 0.353270 0.520338 0.126392 0.746922
8.000000 0.343088 0.531584 0.125328 0.745184
9.000000 0.332958 0.535249 0.131793 0.735650
10.000000 0.327611 0.531529 0.140860 0.723486
11.000000 0.316786 0.535738 0.147475 0.714893
12.000000 0.312445 0.542502 0.145053 0.714157
13.000000 0.306480 0.545639 0.147881 0.712091
14.000000 0.304686 0.541690 0.153624 0.701577
15.000000 0.304756 0.526361 0.168883 0.683951
16.000000 0.296640 0.539953 0.163407 0.687662
17.000000 0.300589 0.540269 0.159141 0.689695
18.000000 0.289335 0.554980 0.155685 0.694150
19.000000 0.280331 0.555096 0.164573 0.685707
20.000000 0.283685 0.553410 0.162905 0.683323
21.000000 0.279004 0.560904 0.160092 0.687215
22.000000 0.273557 0.566967 0.159476 0.686267
23.000000 0.275449 0.564757 0.159794 0.683547
24.000000 0.273424 0.562677 0.163899 0.676223
25.000000 0.271280 0.567259 0.161461 0.679280
26.000000 0.261674 0.581589 0.156737 0.684783
27.000000 0.271010 0.566186 0.162804 0.674550
28.000000 0.264269 0.577371 0.158359 0.678113
29.000000 0.256088 0.587276 0.156636 0.681163
30.000000 0.258714 0.580678 0.160608 0.674831
31.000000 0.258892 0.574679 0.166429 0.668701
32.000000 0.257809 0.579645 0.162546 0.669491
33.000000 0.249796 0.595427 0.154777 0.677744
34.000000 0.255635 0.577021 0.167344 0.663105
35.000000 0.248518 0.596506 0.154976 0.676151
36.000000 0.251539 0.583970 0.164491 0.664758
37.000000 0.249404 0.591926 0.158670 0.669318
38.000000 0.246002 0.602945 0.151053 0.676187
39.000000 0.238696 0.607586 0.153718 0.674150
40.000000 0.248433 0.590362 0.161205 0.664233
41.000000 0.243430 0.598842 0.157728 0.667477
42.000000 0.242518 0.601962 0.155520 0.669147
43.000000 0.239631 0.604542 0.155826 0.668036
44.000000 0.248532 0.598030 0.153437 0.667150
45.000000 0.238246 0.604522 0.157232 0.664106
46.000000 0.240409 0.602411 0.157180 0.663201
47.000000 0.232697 0.613806 0.153497 0.667061
48.000000 0.234346 0.611625 0.154029 0.664280
49.000000 0.236786 0.607345 0.155869 0.661960
50.000000 0.232874 0.615783 0.151342 0.666462
51.000000 0.231152 0.621354 0.147494 0.669956
52.000000 0.237140 0.609250 0.153610 0.661565
53.000000 0.233316 0.615284 0.151399 0.662974
54.000000 0.234598 0.607321 0.158081 0.656386
55.000000 0.233485 0.611411 0.155105 0.658058
56.000000 0.231147 0.613646 0.155206 0.658837
57.000000 0.226882 0.620767 0.152351 0.661434
58.000000 0.225478 0.621434 0.153087 0.659220
59.000000 0.224727 0.629531 0.145742 0.667084
