# k f_up f_down f_allD C_global_avg Ncomp_U Ncomp_D Ncomp_Def Smax_U Smax_D Smax_Def Avg_U Avg_D Avg_Def E_UD E_UDef E_DDef
2.000000 0.297381 0.436930 0.265689 0.725890 3.029056 3.404570 2.949497 25.785014 36.975067 24.006419 15.693320 21.760393 14.488834 3.483955 2.574144 3.324847
3.000000 0.347006 0.609429 0.043565 0.944415 2.380230 1.883467 1.439183 48.190607 89.058885 4.794501 36.388349 78.450345 3.032380 26.546276 4.815197 3.803246
4.000000 0.370486 0.598176 0.031338 0.955857 2.001589 1.666441 1.027212 53.317061 88.291627 3.758866 45.329078 81.764783 2.662282 42.558796 6.458076 2.919116
5.000000 0.365482 0.605590 0.028927 0.956998 1.746202 1.490532 0.813468 53.250946 89.867105 3.713976 47.740334 85.586077 2.884326 56.590194 7.865052 2.711118
6.000000 0.353510 0.613673 0.032818 0.951356 1.578589 1.360539 0.685534 51.818495 91.354847 4.466095 47.704763 88.357619 3.790046 70.266219 9.537094 2.802053
7.000000 0.337146 0.624851 0.038003 0.944562 1.464536 1.272143 0.593990 49.581052 93.201053 5.354829 46.378734 91.039076 4.807487 82.961045 11.139482 3.068422
8.000000 0.318978 0.638595 0.042428 0.938811 1.376913 1.200322 0.522769 47.007134 95.392204 6.098679 44.453809 93.808968 5.658055 95.390187 12.643632 3.373610
9.000000 0.320128 0.629292 0.050581 0.928638 1.309441 1.165925 0.488835 47.299755 94.050995 7.364925 45.139340 92.752818 6.991872 111.787172 14.807651 3.861516
10.000000 0.299501 0.643895 0.056603 0.922168 1.252303 1.121896 0.440640 44.288304 96.315422 8.320672 42.514861 95.338026 8.037962 122.048511 15.807784 4.330314
11.000000 0.288210 0.647745 0.064045 0.913740 1.198997 1.091405 0.414272 42.671652 96.939999 9.465977 41.171671 96.183304 9.237405 134.668755 17.304773 4.896917
12.000000 0.276213 0.653666 0.070121 0.907262 1.161473 1.066842 0.388653 40.925848 97.865055 10.403294 39.643012 97.267132 10.219422 147.147314 18.385228 5.404026
13.000000 0.268947 0.652410 0.078644 0.897395 1.124244 1.050924 0.377590 39.884820 97.696484 11.697295 38.777689 97.198020 11.542161 157.180369 20.450643 6.182881
14.000000 0.268471 0.644722 0.086806 0.888258 1.088886 1.036762 0.370389 39.865969 96.560600 12.934926 38.923319 96.136269 12.806421 172.081782 22.182007 6.968130
15.000000 0.256577 0.651094 0.092329 0.882332 1.060155 1.022015 0.356870 38.113890 97.537092 13.776359 37.281610 97.190806 13.670542 182.299884 23.441122 7.630408
16.000000 0.252558 0.651419 0.096022 0.877990 1.036267 1.011713 0.348387 37.542154 97.599288 14.338846 36.809164 97.307534 14.248691 194.008655 24.994671 8.319723
17.000000 0.251942 0.645294 0.102764 0.870342 1.016804 1.001851 0.347239 37.480136 96.690159 15.356016 36.833340 96.437310 15.277480 208.415765 26.962997 9.000586
18.000000 0.240486 0.649629 0.109884 0.863136 0.993552 0.992775 0.342045 35.780205 97.349916 16.431566 35.207162 97.133222 16.365843 212.989909 28.065049 9.772760
19.000000 0.243057 0.645318 0.111625 0.861131 0.979755 0.988211 0.336692 36.188963 96.709970 16.697362 35.673047 96.518169 16.640650 231.108403 29.158001 10.475060
20.000000 0.235303 0.646789 0.117908 0.854490 0.962418 0.978967 0.334571 35.043241 96.939364 17.644500 34.577218 96.774934 17.595331 239.691234 30.746011 11.166668
