# k f_up f_down f_allD C_global_avg Ncomp_U Ncomp_D Ncomp_Def Smax_U Smax_D Smax_Def Avg_U Avg_D Avg_Def E_UD E_UDef E_DDef
2.000000 0.394440 0.463626 0.141934 0.784409 3.302087 3.384217 2.185140 33.834860 40.090051 13.922790 19.995056 23.655673 9.371717 4.500744 2.103287 2.266994
3.000000 0.447043 0.531159 0.021799 0.885945 2.287694 2.094774 0.932400 63.439993 76.645672 2.421195 51.117752 64.854347 1.697723 28.621619 2.923782 1.900505
4.000000 0.444274 0.534775 0.020951 0.871653 1.958921 1.788593 0.750602 64.541250 78.513519 2.564218 56.471784 71.242278 1.884014 46.154852 4.624017 1.836374
5.000000 0.429296 0.542857 0.027847 0.849769 1.759062 1.571767 0.686422 62.860011 80.281428 3.687486 57.123414 75.481386 2.958692 60.465094 7.132846 2.231516
6.000000 0.415976 0.544560 0.039464 0.821925 1.600944 1.419467 0.656605 61.229301 80.863311 5.487749 56.987203 77.594537 4.713711 74.049225 11.051751 3.111551
7.000000 0.399389 0.548666 0.051945 0.800748 1.493371 1.326911 0.616684 58.947672 81.654270 7.425192 55.562593 79.213634 6.696725 87.735445 15.059833 4.170693
8.000000 0.382943 0.563588 0.053469 0.795124 1.420847 1.241606 0.574031 56.610794 84.045312 7.708657 53.834888 82.221536 7.080397 102.158747 17.671976 4.944114
9.000000 0.370696 0.571351 0.057953 0.786110 1.354277 1.195464 0.544171 54.889735 85.294321 8.424234 52.594689 83.875110 7.880290 116.958462 20.787686 6.015904
10.000000 0.364345 0.564936 0.070720 0.764071 1.292090 1.153382 0.534859 54.034840 84.390553 10.368753 52.158462 83.283436 9.867651 126.635476 26.266290 7.791638
11.000000 0.357086 0.570254 0.072660 0.758680 1.247492 1.123862 0.513425 53.018511 85.237436 10.688636 51.417521 84.327619 10.258851 141.583289 29.803719 8.540592
12.000000 0.348401 0.574636 0.076963 0.753963 1.211289 1.093084 0.490007 51.774313 85.942958 11.364154 50.392507 85.217573 11.003764 156.656557 32.843785 9.831217
13.000000 0.340331 0.580699 0.078969 0.748860 1.180950 1.073532 0.475372 50.606851 86.883492 11.683799 49.411432 86.278815 11.368948 168.310718 36.694252 10.883244
14.000000 0.339007 0.574844 0.086149 0.735939 1.149319 1.058253 0.473584 50.455630 86.024417 12.773219 49.427473 85.505863 12.487061 180.916291 41.289856 12.923618
15.000000 0.328716 0.583288 0.087997 0.735595 1.120549 1.036214 0.453153 48.947343 87.320590 13.071593 48.051507 86.901518 12.834927 191.555727 44.523184 13.227495
16.000000 0.331950 0.583611 0.084439 0.733749 1.099360 1.028751 0.445840 49.466424 87.382672 12.544804 48.682002 87.009690 12.326785 207.176380 47.874742 14.432471
17.000000 0.322001 0.595950 0.082049 0.738753 1.079686 1.018185 0.427210 47.998127 89.255389 12.200293 47.304789 88.945859 12.018048 221.392583 48.450473 14.951945
18.000000 0.313803 0.598766 0.087431 0.731854 1.062749 1.007972 0.421348 46.789599 89.691323 13.018593 46.162958 89.424806 12.859028 233.128965 53.446439 16.544285
19.000000 0.314365 0.595242 0.090393 0.724475 1.049059 0.999668 0.420999 46.894659 89.170006 13.468312 46.336160 88.931730 13.321115 244.447041 57.963303 17.703465
20.000000 0.306377 0.610279 0.083344 0.734736 1.031966 0.995405 0.401765 45.714868 91.440530 12.419634 45.214041 91.241105 12.292918 260.958568 56.914378 17.325520
